Author,P,T,Type of liquid,Type of Gas,DenL,DenG,VisL,VisG,ST,ID,Roughness,Ang,L/D,Vsl,Vsg,Flow_label
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.004,0.041,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.006,0.042,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.01,0.042,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.038,0.043,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.015,0.043,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.095,0.043,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.024,0.043,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.059,0.043,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.099,0.067,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.059,0.068,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.01,0.1,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.004,0.101,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.006,0.101,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.06,0.102,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.095,0.103,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.059,0.16,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.093,0.16,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.059,0.256,Stratified
Barnea et al. (1982),1013.25,15,Water,Air,999,1.2257,0.001139,0.000017965,0.0735,0.0255,0,0,0,0.097,0.257,Stratified
