P,T,DenL,DenG,VisL,VisG,ST,ID,Roughness,Ang,Vsl,Vsg,Flow_label
100.0,25.0,879.8,1.3,0.483,1.85e-05,0.03,0.0508,0.0,0.0,0.0109404,8.03354,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-1.0,1.8,0.025,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-90.0,0.986322,0.0214829,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,0.1,16.0,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,90.0,1.57362,0.967343,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,2.0,4.0,2.5,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-80.0,0.268488,6.17865,3.0
2060.0,26.9,1000.0,23.4,0.001,2.69e-06,0.07,0.1064,0.0,0.0,2.11846,2.94583,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-10.0,0.63,0.016,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,30.0,0.0303897,0.0539504,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-90.0,0.367838,18.0854,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.25,1.0,0.1,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.25,0.0063,6.3,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,15.0,0.107884,0.245824,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,10.0,4.0,0.4,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,0.06,1.5,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,1.0,2.5,0.63,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,5.0,0.01,16.0,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-70.0,0.663962,0.158538,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,70.0,0.381007,24.2974,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-5.0,0.01,25.0,0.0
790.0,24.0,1029.0,14.9,0.001,1.6e-05,0.07,0.0972,0.0,2.0,0.100359,4.62284,2.0
100.0,20.0,1000.0,1.12,0.001,1.5e-05,0.07,0.0254,0.0,0.0,0.929878049,19.45121951,2.0
25.9,24.8,884.2806769,1.49,0.004973417,1.9e-05,0.03,0.0501,0.0,1.0,0.0114,6.7,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,5.0,1.6,0.04,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,20.0,0.00249128,0.373846,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-5.0,2.5,2.5,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,0.004,0.04,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-80.0,2.61211,0.0973651,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.25,4.0,1.6,2.0
1471.3,64.7,796.4326323,10.2,0.003217863,1.29e-05,0.015,0.0549,0.0,0.0052,0.144559676,0.192494027,2.0
3149.6,53.4,794.4446016,23.7,0.003217863,1.29e-05,0.015,0.0549,0.0,1.03,0.156651408,0.895142234,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,85.0,1.79435,0.248602,5.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,0.4,1.6,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.5,0.06,4.0,2.0
450.0,20.0,1025.0,8.25,0.001,1.6e-05,0.07,0.0972,0.0,0.0,1.01905,4.84394,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-1.0,0.63,1.6,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.5,0.04,0.0399654,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,10.0,1.6,0.25,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,0.0,0.612311,16.203,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,6.3,0.4,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,70.0,0.00957503,24.6802,0.0
35.7,23.8,884.9883845,1.61,0.005144391,1.9e-05,0.03,0.0501,0.0,0.0,0.0207,15.1,0.0
270.0,49.0,1054.0,5.02,0.001,1.6e-05,0.07,0.0972,0.0,5.0,0.506934,7.99782,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-30.0,0.660983,6.56355,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,15.0,1.7222,1.53993,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-1.0,0.01,25.0,0.0
490.0,35.0,1000.0,5.52,0.001,3.35e-06,0.07,0.0549,0.0,0.0,0.00918101,1.91095,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-30.0,0.643567,9.71532,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,0.006,10.0,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,2.5,1.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.5,0.016,25.0,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,1.0,0.15,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,0.0,0.0286438,18.6322,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-90.0,2.42394,6.51026,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-10.0,1.6,0.25,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-90.0,0.00947197,2.51733,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,50.0,0.102908,0.0597708,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,20.0,0.629699,0.156128,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-9.0,0.356866,15.5603,0.0
1457.2,61.0,801.1500765,9.44,0.003217863,1.29e-05,0.015,0.0549,0.0,0.0052,0.281116951,4.434311091,2.0
100.0,20.0,1000.0,1.12,0.001,1.5e-05,0.07,0.0954,0.0,0.0,0.216463415,9.024390244,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,30.0,0.0443394,0.0232419,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,1.0,0.0588415,0.12864,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,30.0,0.593857,9.7804,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,0.0,0.450998,0.224805,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,70.0,0.985075,0.252069,5.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,0.0,1.37096,15.5035,2.0
100.0,20.0,1000.0,1.12,0.001,1.5e-05,0.07,0.0254,0.0,0.0,0.914634146,200.6097561,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,1.0,0.63,25.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,15.0,2.44205,2.48908,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,15.0,1.7222,1.53993,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.25,0.016,16.0,3.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,-9.0,0.0495111,4.71263,4.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,-1.0,0.0491367,19.6653,0.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,9.0,0.0957066,0.0488681,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-70.0,0.00432379,40.3747,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,15.0,4.04741,0.964662,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.25,0.1,0.4,2.0
2000.0,30.0,702.3,23.4,0.000359,1.77e-05,0.019,0.189,0.0,90.0,0.309283,2.56383,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,0.0,2.96931,0.244584,1.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-5.0,0.0595544,0.0845045,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,1.6,6.3,2.0
450.0,54.0,1059.0,8.25,0.001,1.6e-05,0.07,0.0972,0.0,5.0,0.508763,2.89905,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,5.0,4.0,0.63,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,1.0,1.0,6.3,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,90.0,2.27283,6.33438,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-5.0,0.025,25.0,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,70.0,0.632138,0.06107,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,4.0,4.0,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,0.04,2.5,3.0
2000.0,30.0,702.3,23.4,0.000359,1.77e-05,0.019,0.189,0.0,90.0,0.0994814,0.698542,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,1.0,1.0,0.4,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-30.0,0.396076,25.7711,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,10.0,0.1,0.15,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-80.0,1.60522,0.0589781,1.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,-9.0,0.0497465,0.945435,4.0
270.0,54.0,1059.0,5.02,0.001,1.6e-05,0.07,0.0972,0.0,-2.0,0.0999194,7.89561,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-30.0,4.18861,0.622659,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.25,6.3,1.0,1.0
-80.6,-256.0,77.04160247,0.125,1.17e-05,5.07e-07,0.07,0.00874,0.0,1.5,0.0226518,0.571143,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,50.0,0.0151417,9.58176,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-30.0,0.00994115,3.86345,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-80.0,0.430681,6.53961,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,2.0,1.0,0.1,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-1.0,0.016,25.0,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,85.0,0.00237671,10.2858,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,0.15,40.0,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,80.0,2.43623,6.96263,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,1.0,0.0299151,0.889649,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-80.0,0.0040771,16.3839,3.0
592.0,35.0,1000.0,6.47,0.001,2.69e-06,0.07,0.1064,0.0,3.0,2.08317,1.95578,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,30.0,0.0063942,6.24675,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-80.0,0.589615,0.015648,0.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,-5.0,0.200392,19.9998,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-10.0,0.1,0.04,3.0
375.1,30.6,814.0,3.0,0.0019,1.9e-05,0.029,0.0762,0.0,0.0,0.603504,0.9144,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,2.0,2.5,0.063,1.0
100.0,20.0,1000.0,1.12,0.001,1.5e-05,0.07,0.0954,0.0,0.0,0.304878049,73.47560976,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.25,1.5,6.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-80.0,0.410239,4.27154,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,1.0,2.5,4.0,2.0
100.0,25.0,879.8,1.3,0.483,1.85e-05,0.03,0.0508,0.0,0.0,1.010163092,1.404634723,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,0.01,0.4,4.0
27.5,22.1,886.1927875,1.52,0.005448645,1.9e-05,0.03,0.0501,0.0,-1.0,0.0257,4.8,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-30.0,2.49935,6.24236,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-70.0,1.65435,6.70338,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,70.0,3.89015,3.56829,1.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-9.0,0.207179,0.135935,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,2.0,6.3,0.1,1.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,-1.0,0.0294273,0.443456,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,10.0,0.16,0.25,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,90.0,0.00996633,0.101077,5.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,30.0,0.00400441,26.2426,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,30.0,0.0725634,0.0538595,2.0
41.6,21.3,886.7601324,1.69,0.005597987,1.9e-05,0.03,0.0501,0.0,-1.0,0.0531,15.8,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,70.0,0.00978177,0.062529,5.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,5.0,0.116099,0.237229,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,85.0,0.0987258,0.988568,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,0.015,4.0,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-30.0,0.235278,41.203,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-10.0,0.25,4.0,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,85.0,0.164566,15.2359,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-30.0,3.79404,6.38791,2.0
26.4,24.0,884.8467977,1.5,0.005109732,1.9e-05,0.03,0.0501,0.0,-2.0,0.017,6.3,3.0
