Author,P,T,Type of liquid,Type of Gas,DenL,DenG,VisL,VisG,ST,ID,Roughness,Ang,L/D,Vsl,Vsg,Flow_label
"1985_Piu-Yan, Liu_LD_HL  _a1",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.044817073170732,0.814024390243903,3
"1985_Piu-Yan, Liu_LD_HL  _a2",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.060975609756098,0.814024390243903,5
"1985_Piu-Yan, Liu_LD_HL  _a3",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.088109756097561,0.814024390243903,5
"1985_Piu-Yan, Liu_LD_HL  _a4",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.060975609756098,1.10365853658537,5
"1985_Piu-Yan, Liu_LD_HL  _a5",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.121951219512195,1.10365853658537,5
"1985_Piu-Yan, Liu_LD_HL  _a6",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.219512195121951,1.10365853658537,5
"1985_Piu-Yan, Liu_LD_HL  _a7",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.036585365853659,2.09146341463415,3
"1985_Piu-Yan, Liu_LD_HL  _a8",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.045731707317073,2.09146341463415,5
"1985_Piu-Yan, Liu_LD_HL  _a9",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.060975609756098,2.09146341463415,5
"1985_Piu-Yan, Liu_LD_HL  _a10",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.121951219512195,2.09146341463415,5
"1985_Piu-Yan, Liu_LD_HL  _a11",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.219512195121951,2.09146341463415,5
"1985_Piu-Yan, Liu_LD_HL  _a12",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.036585365853659,3.03353658536585,3
"1985_Piu-Yan, Liu_LD_HL  _a13",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.045731707317073,3.03353658536585,5
"1985_Piu-Yan, Liu_LD_HL  _a14",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.060975609756098,3.03353658536585,5
"1985_Piu-Yan, Liu_LD_HL  _a15",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.121951219512195,3.10975609756098,5
"1985_Piu-Yan, Liu_LD_HL  _a16",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.219512195121951,3.10975609756098,5
"1985_Piu-Yan, Liu_LD_HL  _a17",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.341463414634146,3.14024390243902,5
"1985_Piu-Yan, Liu_LD_HL  _a18",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.609756097560976,3.29268292682927,5
"1985_Piu-Yan, Liu_LD_HL  _a19",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.030487804878049,4.45121951219512,3
"1985_Piu-Yan, Liu_LD_HL  _a20",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.121951219512195,4.48170731707317,5
"1985_Piu-Yan, Liu_LD_HL  _a21",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.036585365853659,6.76829268292683,3
"1985_Piu-Yan, Liu_LD_HL  _a22",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.060975609756098,6.76829268292683,5
"1985_Piu-Yan, Liu_LD_HL  _a23",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.076219512195122,6.76829268292683,5
"1985_Piu-Yan, Liu_LD_HL  _a24",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.121951219512195,6.85975609756098,5
"1985_Piu-Yan, Liu_LD_HL  _a25",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.219512195121951,6.98170731707317,5
"1985_Piu-Yan, Liu_LD_HL  _a26",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.341463414634146,7.10365853658537,5
"1985_Piu-Yan, Liu_LD_HL  _a27",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.609756097560976,7.46951219512195,5
"1985_Piu-Yan, Liu_LD_HL  _a28",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.929878048780488,8.01829268292683,5
"1985_Piu-Yan, Liu_LD_HL  _a29",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.045731707317073,9.69512195121951,5
"1985_Piu-Yan, Liu_LD_HL  _a30",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.219512195121951,10.1219512195122,5
"1985_Piu-Yan, Liu_LD_HL  _a31",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.341463414634146,10.8536585365854,5
"1985_Piu-Yan, Liu_LD_HL  _a32",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.609756097560976,11.4329268292683,5
"1985_Piu-Yan, Liu_LD_HL  _a33",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.929878048780488,12.2865853658537,5
"1985_Piu-Yan, Liu_LD_HL  _a34",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.045731707317073,17.0121951219512,3
"1985_Piu-Yan, Liu_LD_HL  _a35",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.076219512195122,16.7987804878049,5
"1985_Piu-Yan, Liu_LD_HL  _a36",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.121951219512195,17.469512195122,5
"1985_Piu-Yan, Liu_LD_HL  _a37",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,,0.219512195121951,17.7134146341463,5
"1985_Piu-Yan, Liu_LD_HL  _a38",100,20,Water,Air,1000,1.12,0.001,6.957E-05,0.07,0.0254,0,0,600,0.341463414634146,18.5975609756098,5
